Latest available block is #14965570 (timestamp: 2022-06-14 21:18:29).
0xde07fb5b7a464e3ba7fbe09e9acb271af5338c58 genesis account amount matches current amount (50.00 eth)
0xfa33553285a973719a0d5f956ff861b2d89ed304 genesis account amount matches current amount (20.00 eth)
0xe7912d4cf4562c573ddc5b71e37310e378ef86c9 genesis account amount matches current amount (394.00 eth)
0xdbadc61ed5f0460a7f18e51b2fb2614d9264a0e0 genesis account amount matches current amount (40.00 eth)
0xc98048687f2bfcc9bd90ed18736c57edd352b65d genesis account amount matches current amount (1000.00 eth)
0xcb3d766c983f192bcecac70f4ee03dd9ff714d51 genesis account amount matches current amount (100.00 eth)
0x44a63d18424587b9b307bfc3c364ae10cd04c713 genesis account amount matches current amount (20.00 eth)
0x7b1daf14891b8a1e1bd429d8b36b9a4aa1d9afbf genesis account amount matches current amount (500.00 eth)
0x9eb281c32719c40fdb3e216db0f37fbc73a026b7 genesis account amount matches current amount (20.00 eth)
0xcbfa76db04ce38fb205d37b8d377cf1380da0317 genesis account amount matches current amount (1430.00 eth)
0x0ef54ac7264d2254abbb5f8b41adde875157db7c genesis account amount matches current amount (40.00 eth)
0x873e49135c3391991060290aa7f6ccb8f85a78db genesis account amount matches current amount (20.00 eth)
0xce26f9a5305f8381094354dbfc92664e84f902b5 genesis account amount matches current amount (230.20 eth)
0x926082cb7eed4b1993ad245a477267e1c33cd568 genesis account amount matches current amount (374.30 eth)
0x5e58e255fc19870a04305ff2a04631f2ff294bb1 genesis account amount matches current amount (17.60 eth)
0x8895eb726226edc3f78cc6a515077b3296fdb95e genesis account amount matches current amount (3940.00 eth)
0x45bb829652d8bfb58b8527f0ecb621c29e212ec3 genesis account amount matches current amount (2000.00 eth)
0x80f07ac09e7b2c3c0a3d1e9413a544c73a41becb genesis account amount matches current amount (20.00 eth)
0x3439998b247cb4bf8bc80a6d2b3527f1dfe9a6d2 genesis account amount matches current amount (140.00 eth)
0x6580b1bc94390f04b397bd73e95d96ef11eaf3a8 genesis account amount matches current amount (20.00 eth)
0xcd59f3dde77e09940befb6ee58031965cae7a336 genesis account amount matches current amount (10000.00 eth)
0x54a1370116fe22099e015d07cd2669dd291cc9d1 genesis account amount matches current amount (20.00 eth)
0x6d1456fff0104ee844a3314737843338d24cd66c genesis account amount matches current amount (141.84 eth)
0x019d709579ff4bc09fdcdde431dc1447d2c260bc genesis account amount matches current amount (20.00 eth)
